label,threshold,precision,recall,sensitivity,specificity,f1,positive_count,negative_count,tp,fp,tn,fn
Atelectasis,0.4417925775051117,0.6632653061224489,0.8666666666666667,0.8666666666666667,0.7401574803149606,0.7514450867052023,75,127,65,33,94,10
Cardiomegaly,0.4436025619506836,0.6833333333333333,0.6212121212121212,0.6212121212121212,0.8602941176470589,0.6507936507936507,66,136,41,19,117,25
Consolidation,0.5700501799583435,0.49019607843137253,0.78125,0.78125,0.8470588235294118,0.6024096385542168,32,170,25,26,144,7
Edema,0.6647163033485413,0.7674418604651163,0.7857142857142857,0.7857142857142857,0.9375,0.7764705882352941,42,160,33,10,150,9
Pleural Effusion,0.5783957839012146,0.8571428571428571,0.75,0.75,0.9420289855072463,0.7999999999999999,64,138,48,8,130,16
